Question,Option1,Option2,Option3,Option4,Option5,Option6,"Correct Option
(Note:- if correct option is Option1 then insert 1)",Category Name,Marks
Which of the following statements related to jQuery selectors are correct? ,"$(""p"") will select all the p elements.","S(""p.intro"") will select all p elements with class=""intro"" defined in them. ","S(""p4clemo"") this will select all p elements with id=""demo"".", All of the above. ,,,1,Jquery,1
jQuery is designed to change the way that you write JavaScript. ,TRUE,FALSE,,,,,1,Jquery,1
A callback is a function that is passed as an argument to another function and is executed before its parent function has completed. ,TRUE,FALSE,,,,,1,Jquery,1
In which of the following general areas JavaScript can be placed for use in a webpage? ,Within the body tag, In an external file ,All of the above,,,,3,Jquery,1
Which of the following is not an example of JavaScript events?,A mouse click ,The webpage loading,Hovering ,None of the above ,,,2,Jquery,1
Which of the following statements related to PHP are correct?,PHP is probably the most popular  language on the web,it is used to enhance web pages,PHP is known as a client-sided language,All of the above,,,1,PHP,1
All variables in PHP start with which of the following symbol? ,&,$,!,#,,,2,PHP,1
Variables are displayed in the URL when POST method is used? ,TRUE,FALSE,,,,,2,PHP,1
Which of the following is the correct way to create a function in PHP? ,create_function myFunction() ,function myFunction() ,create myFunction() ,All of the above,,,2,PHP,1
Which of the following is the correct way to connect to a MySQL database? ,"connect_mysql(""hostname"",""username"",""password""); ","dbopen(""hostname"",""username"",""password"");","mysql_connect(""hostname"",""username"",""password"");","mysql_open(""hostname"",""username"",""password""); ",,,3,PHP,1
What will be displayed after you execute the following: echo 'hello $world';,hello world,It depends on the value of $world,It will not work due to a syntax error,hello $world,,,4,PHP,1
How do you define a constant?,"set(MY_CONSTANT, ""value"");","define MY_CONSTANT = ""value"";","define(""MY_CONSTANT"", ""value"");",set MY_CONSTANT=value;,,,3,PHP,1
What is the correct syntax for specifying a default argument value in a fun,function my_function(null $param1);,function my_function($param1 null) ,"function my_function($param1=="""");","function my_function($param1="""");",,,4,PHP,1
"$var = ""5"".""6""; What is the value of $var ?",5,6,11,56,,,4,PHP,1
How do you return a value within a function?,result=$var;,return=$var;,result $var;,return $var;,,,4,PHP,1
Which of the following functions does not exist in PHP?,is_string,is_array,is_object,is_number,,,4,PHP,1
"What is the purpose of the ""foreach"" instruction?",It does not exist in PHP,"It is an alias of the instruction ""for""",It loops through the specified array,It allows you to reach a different part of the program,,,3,PHP,1
Is PHP whitespace sensitive?,FALSE,TRUE,,,,,1,PHP,1
Which of the following type of variables have only two possible values either true or false?,Integers,Doubles,Booleans,Strings,,,3,PHP,1
Which of the following is correct about constants?,"Unlike with variables, you do not need to have a constant with a $.","Only scalar data (boolean, integer, float and string) can be contained in constants.",Both of the above.,None of the above.,,,3,PHP,1
Which of the following operator is used to concatenate two strings?,<span>.</span>,<span>+</span>,append,None of the above.,,,2,Jquery,1
Which of the following operator is used to concatenate two strings?,<span>.</span>,<span>+</span>,append,None of the above.,,,1,PHP,1
Which of the following can be used to get information sent via get/post method in PHP?,$_REQUEST,$REQUEST,$REQUEST_PAGE,None of the above.,,,1,PHP,1
"Singly quoted strings are treated almost literally, whereas doubly quoted strings replace variables with their values.",FALSE,TRUE,,,,,2,PHP,1
Which of the following provides the size of the uploaded file in PHP?,$_FILES['file']['tmp_name'],$_FILES['file']['name'],$_FILES['file']['size'],$_FILES['file']['type'],,,3,PHP,1
Using which of the following way can you embed PHP code in an HTML page?,<?php PHP code goes here ?>,<? PHP code goes here ?>,"<script language=""php""> PHP code goes here </script>",All of the above.,,,4,PHP,1
Which of the following is correct about NULL?,NULL is a special type that only has one value: NULL.,"The special constant NULL is capitalized by convention, but actually it is case insensitive.",Both of the above.,None of the above.,,,3,PHP,1
Which of the following keyword causes the loop to skip the remainder of its body and immediately retest its condition prior to reiterating?,break,continue,,,,,2,PHP,1
Which of the following is used to create a session?,session_start() ,$_SESSION[],isset() function,session_destroy(),,,1,PHP,1
Which of the following function is used to check if a file exists or not?,fopen(),fread(),filesize(),file_exist(),,,4,PHP,1
In how many ways can a CSS be integrated as a web page?,Inline: Style attribute can be used to have CSS applied HTML elements.,Embedded: The Head element can have a Style element within which the code can be placed.,Linked/ Imported: CSS can be placed in an external file and linked via link element.,All of the above.,,,4,CSS,1
What does CSS stand for?,Creative Style Sheets,Colorful Style Sheets,Cascading Style Sheets,Computer Style Sheets,,,3,CSS,1
