Question,Option 1,Option2,Option3,Option4,Option5,Option 6,Correct OPtion (note:- if Correct option is Option 1 then insert 1),Category Name ,Marks
"Your company currently has a VPC with EC2 Instances. A new instance being launched which will host
an application that works on IPv6. You need to ensure that this instance can initiate traffic outgoing to
the Internet. At the same time, you need to ensure that no incoming connection can be initiated from
the Internet on to the Instance. Which of the following would you add to the VPC for this requirement?",A NAT Instance,A NAT gateway,An Internet gateway,An egress-only Internet gateway,,,4,System Operations,5
"A company is planning for hosting a 3-tier application onto AWS. The presentation layer is hosted on a
set of web servers and are placed in a public subnet. Application layer hosted on 2 EC2 instances, and
Oracle database servers, hosted on EC2 instances are placed in a private subnet. You need to ensure
that all traffic has been evenly distributed. Also, you need to ensure that database servers are not
accessible on the Internet.
Which of the following 2 configurations you will propose to implement?",Create an external load balancer for the web servers,Create an external load balancer for the database servers,Create an Internal load balancer for the web servers,Create an internal load balancer for the Application Layer,,,1&4,System Operations,5
"You’ve set up an EC2 Instance in one of the default subnets in a default VPC. You need to setup an
application on the EC2 Instance. For that you need to ensure that you can log into the Linux Instance.
Which of the following changes would you need to implement to be able to log into the Instance",Incoming for Security Group for TCP protocol on port 22,Outgoing for Security Group for TCP protocol on port 22,Incoming for NACL for TCP protocol on port 22,Outgoing for NACL for TCP protocol on port 22,,,1,System Operations,5
"You’re planning on allowing an Administrator to setup an EC2 Instance. This EC2 Instance will host an
application that would need access to a DynamoDB table. Which of the following policy permissions
are required to ensure that from a security perspective this implementation can be carried out?
Choose 2 answers from the options given below",A trust policy that allows the EC2 Instance to assume a role,A trust policy that allows the user to assume a role,An IAM permission policy that allows the user to assume a role,An IAM permission policy that allows the user to pass a role,,,1&4,System Operations,5
"Your company has a set of S3 buckets defined in AWS. The reporting users need to analyse the data in
S3 using standard SQL. Which of the following service can help meet their demand?",AWS Redshift,AWS Athena,AWS DynamoDB,AWS RDS,,,2,System Operations,5
"You are an Operations Engineer for a company. The company has just started using AWS RDS-MySQL
for their underlying data store. There is a requirement to ensure that the database is available even in
the event of a failure. The transition to the backup database should take the least amount of time.
Which of the following features would you use to fulfil this requirement?",Use Read Replicas,Use Global tables,Use Multi-AZ,Use Automated Backups,,,3,System Operations,5
"Your company has setup EC2 Instances in AWS. These EC2 Instances are normally setup on staging
environments and then promoted as production-based instances. You need ensure that SSH is always
disabled on these Instances. You normally have around 500 Instances to manage. Which of the
following would be the best way to ensure this security check is in place?",Use the AWS Inspector to check the Security Groups,Use AWS Config Rules to check the Security Groups,Create a CLI script to check all the Security groups,Use the EC2 Config utility to check all the Security groups,,,2,System Operations,5
"Your team is planning on hosting a set of EC2 Instances which is going to host databases. The
databases would receive a heavy load. Which of the following EBS volume type would you provision
for the underlying EC2 Instances",General Purpose SSD,Provisioned IOPS,Throughput Optimized HDD,Cold HDD,,,2,System Operations,5
"Your team is planning on hosting a set of EC2 Instances which is going to host Memcached which will
be used as the Cache for several applications. As the IT admin, you need to provision the EC2
Instances. Which of the following Instance type would you provision for the underlying EC2 Instance?",Compute Optimized,Memory Optimized,Storage Optimized,General Purpose,,,2,System Operations,5
"Your company needs to connect their on-premise network to their AWS VPC’s. You are in charge of
setting up the AWS VPN connection to setup this hybrid architecture. Which of the following are part
of the implementation steps to have this in place? Choose 3 answers from the options given below.",Ensure that a customer gateway is in place.,Attach an Internet gateway to the VPC,Attach a virtual private gateway to the VPC,Create the VPN connection,,,1&3&4,System Operations,5
